ticker,shares,currency,price,value,value_jp,ratio,PER,sigma,sharpe,usd_jpy_rate
PLTR,10,USD,177.9199981689453,1779.1999816894531,275916.5446213563,27.0,413.76743,68.09882967228572,1.6250561001670039,155.07899475097656
TSLA,3,USD,454.5299987792969,1363.5899963378906,211464.1658845679,20.69,313.46896,65.43839409889628,0.5832052859756951,155.07899475097656
GOOGL,2,USD,317.6199951171875,635.239990234375,98512.37911116704,9.64,31.354393,33.37982991225701,1.9093403200554753,155.07899475097656
IONQ,11,USD,54.7599983215332,602.3599815368652,93413.38041495386,9.14,,119.55493389501723,0.9142856813382365,155.07899475097656
SOFI,20,USD,29.600000381469727,592.0000076293945,91806.76607573696,8.98,52.857143,64.53660480879645,1.261056338456055,155.07899475097656
AMZN,2,USD,229.11000061035156,458.2200012207031,71060.2971640979,6.95,32.36017,34.96145478733389,0.16889212137013274,155.07899475097656
AAPL,1,USD,280.70001220703125,280.70001220703125,43530.675719653256,4.26,37.576977,32.7714770266358,0.49808944182927384,155.07899475097656
QQQM,1,USD,256.4599914550781,256.4599914550781,39771.557668697555,3.89,35.12476,23.701038762970256,0.7297722650701284,155.07899475097656
BBD,56,USD,3.630000114440918,203.2800064086914,31524.459046831937,3.08,10.083333,37.700944820560295,1.7115762988776868,155.07899475097656
NVDA,1,USD,183.3800048828125,183.3800048828125,28438.386814655736,2.78,45.50372,49.83761218499857,0.6458337335847754,155.07899475097656
PFE,4,USD,25.700000762939453,102.80000305175781,15942.121133663924,1.56,14.94186,26.3831865606593,0.247222242184944,155.07899475097656
GLDM,1,USD,83.33000183105469,83.33000183105469,12922.732916556997,1.26,,19.404844196450522,2.3393845507950437,155.07899475097656
RKLB,1,USD,49.369998931884766,49.369998931884766,7656.249805213476,0.75,,87.31901494664534,1.2203115170487815,155.07899475097656
MSFT,0,USD,480.8399963378906,0.0,0.0,0.0,34.247864,24.479950534857185,0.32989537198935276,155.07899475097656
