,AAPL,MSFT,GOOGL,TSLA,AMZN,PLTR,SOFI,IONQ,QQQM,NVDA,BBD,GLDM,PFE,RKLB
AAPL,1.0,0.500015534548306,0.4906022433026024,0.5293373149304816,0.5683280062007852,0.357282996912874,0.4604799647598293,0.23970581826117573,0.7209352788206763,0.4283702643659794,0.27103727093912566,0.01853495495578102,0.2915560022522812,0.23098319379856033
MSFT,0.500015534548306,1.0,0.44501750212673863,0.5001644982679015,0.606619677795796,0.46402449597182344,0.539689836078614,0.33370071571212817,0.7503005237613324,0.6316819603524102,0.2502305217404905,-0.03920069719444499,0.047838618710111434,0.3923791922678906
GOOGL,0.4906022433026024,0.44501750212673863,1.0,0.5545342777161201,0.545349145726463,0.3958283969365918,0.46543762764505964,0.344925911177363,0.6619219772295979,0.4626283050401609,0.269760444161466,0.08742252740097772,0.06821136450591746,0.30089492931928635
TSLA,0.5293373149304816,0.5001644982679015,0.5545342777161201,1.0,0.5501382578994862,0.5217292982734326,0.570790073755738,0.47892482854621915,0.7275559374302685,0.5072941590400932,0.2569064821198416,0.015968553344818,0.15764273428156209,0.4463370027321483
AMZN,0.5683280062007852,0.606619677795796,0.545349145726463,0.5501382578994862,1.0,0.5005961498166656,0.6101239052398073,0.37721601027575785,0.7785901574042147,0.563551754566481,0.21243252049263323,-0.13007962237405712,0.1180145851660343,0.41533022166482275
PLTR,0.357282996912874,0.46402449597182344,0.3958283969365918,0.5217292982734326,0.5005961498166656,1.0,0.5577962753688154,0.4377361108872466,0.6610788135028806,0.5673154479904301,0.27175566682956326,0.03040410007900505,0.09206589353499735,0.516483087879832
SOFI,0.4604799647598293,0.539689836078614,0.46543762764505964,0.570790073755738,0.6101239052398073,0.5577962753688154,1.0,0.4935563534808792,0.7577497699838519,0.5978437466513867,0.26993467624601525,0.046615353826693615,0.12759775654978148,0.6033004519654084
IONQ,0.23970581826117573,0.33370071571212817,0.344925911177363,0.47892482854621915,0.37721601027575785,0.4377361108872466,0.4935563534808792,1.0,0.4795679851181147,0.34635363094106164,0.2074075416086438,-0.00246360095528582,0.11862993450097238,0.5741847392609952
QQQM,0.7209352788206763,0.7503005237613324,0.6619219772295979,0.7275559374302685,0.7785901574042147,0.6610788135028806,0.7577497699838519,0.4795679851181147,1.0,0.7916390558732483,0.33656057188451055,0.03632541318984698,0.22938212944793693,0.5444944659627705
NVDA,0.4283702643659794,0.6316819603524102,0.4626283050401609,0.5072941590400932,0.563551754566481,0.5673154479904301,0.5978437466513867,0.34635363094106164,0.7916390558732483,1.0,0.15750351997106243,0.003064093692403041,0.038111841338541876,0.45145727311516115
BBD,0.27103727093912566,0.2502305217404905,0.269760444161466,0.2569064821198416,0.21243252049263323,0.27175566682956326,0.26993467624601525,0.2074075416086438,0.33656057188451055,0.15750351997106243,1.0,0.10360043943306396,0.12778588977348682,0.17443363575781118
GLDM,0.01853495495578102,-0.03920069719444499,0.08742252740097772,0.015968553344818,-0.13007962237405712,0.03040410007900505,0.046615353826693615,-0.00246360095528582,0.03632541318984698,0.003064093692403041,0.10360043943306396,1.0,0.023429215014227442,0.04024046914717135
PFE,0.2915560022522812,0.047838618710111434,0.06821136450591746,0.15764273428156209,0.1180145851660343,0.09206589353499735,0.12759775654978148,0.11862993450097238,0.22938212944793693,0.038111841338541876,0.12778588977348682,0.023429215014227442,1.0,0.10616911214578817
RKLB,0.23098319379856033,0.3923791922678906,0.30089492931928635,0.4463370027321483,0.41533022166482275,0.516483087879832,0.6033004519654084,0.5741847392609952,0.5444944659627705,0.45145727311516115,0.17443363575781118,0.04024046914717135,0.10616911214578817,1.0
