ticker,shares,price,PER,sigma,sharpe,value,ratio
PLTR,10,179.6199951171875,579.4193,71.7588948033354,2.349341715127858,1796.199951171875,29.21
TSLA,3,435.1499938964844,260.56888,71.12575422468159,1.2538584027872057,1305.4499816894531,21.23
IONQ,11,72.41000366210938,,126.54370961597377,2.008935417088452,796.5100402832031,12.95
SOFI,20,28.030000686645508,56.06,61.51262338689332,1.9335218526768696,560.6000137329102,9.12
AMZN,2,215.57000732421875,32.861282,33.98648531282786,0.4763140585872362,431.1400146484375,7.01
GOOGL,1,251.02999877929688,26.76226,32.49745259257153,1.35659138483624,251.02999877929688,4.08
AAPL,1,249.33999633789062,37.836113,32.49574855890436,0.2786944738022159,249.33999633789062,4.05
QQQM,1,247.8800048828125,33.949646,23.45042932641841,0.8530372265047651,247.8800048828125,4.03
NVDA,1,179.8300018310547,51.23362,49.57174953222031,0.7428314086703155,179.8300018310547,2.92
BBD,56,3.200000047683716,9.411765,37.99074980964988,0.7870116444921827,179.2000026702881,2.91
GLDM,1,83.37000274658203,,17.995447847584575,2.416105667082903,83.37000274658203,1.36
RKLB,1,69.2699966430664,,91.47316299402036,2.4195216752806004,69.2699966430664,1.13
MSFT,0,513.4299926757812,37.586384,24.803500130639584,0.8494008385001665,0.0,0.0
