ticker,shares,price,value,value_jp,ratio,PER,sigma,sharpe,usd_jpy_rate
PLTR,10,177.9199981689453,1779.1999816894531,275811.58876306145,27.43,413.76743,68.09882967228572,1.6250561001670039,155.02000427246094
TSLA,3,454.5299987792969,1363.5899963378906,211383.7270581848,21.02,313.46896,65.43839409889628,0.5832052859756951,155.02000427246094
GOOGL,2,317.6199951171875,635.239990234375,98474.90600017086,9.79,31.354393,33.37982965784951,1.9093400622227348,155.02000427246094
IONQ,11,54.7599983215332,602.3599815368652,93377.84691140434,9.29,,119.55493389501723,0.9142856813382365,155.02000427246094
SOFI,20,29.600000381469727,592.0000076293945,91771.84371200565,9.13,52.857143,64.53660480879645,1.261056338456055,155.02000427246094
AMZN,2,229.11000061035156,458.2200012207031,71033.26654696045,7.06,32.36017,34.96145478733389,0.16889212137013274,155.02000427246094
AAPL,1,280.70001220703125,280.70001220703125,43514.11709161382,4.33,37.576977,32.7714770266358,0.49808944182927384,155.02000427246094
QQQM,1,256.4599914550781,256.4599914550781,39756.42897108151,3.95,35.12476,23.70104275141423,0.7297721824058404,155.02000427246094
BBD,56,3.630000114440918,203.2800064086914,31512.46746198123,3.13,10.083333,37.70094590375049,1.7115760986274777,155.02000427246094
NVDA,1,183.3800048828125,183.3800048828125,28427.5691404175,2.83,45.50372,49.837610657137596,0.6458337458056269,155.02000427246094
GLDM,1,83.33000183105469,83.33000183105469,12917.817239874275,1.28,,19.404844196450522,2.3393845507950437,155.02000427246094
RKLB,1,49.369998931884766,49.369998931884766,7653.337445352168,0.76,,87.31901494664534,1.2203115170487815,155.02000427246094
MSFT,0,480.8399963378906,0.0,0.0,0.0,34.247864,24.47995402441743,0.3298953656129733,155.02000427246094
