ticker,shares,currency,price,value,value_jp,ratio,PER,sigma,sharpe,usd_jpy_rate
PLTR,10,USD,177.9199981689453,1779.1999816894531,275896.97059812024,27.0,413.76743,68.09882967228572,1.6250561001670039,155.0679931640625
TSLA,3,USD,454.5299987792969,1363.5899963378906,211449.16423070803,20.69,313.46896,65.43839409889628,0.5832052859756951,155.0679931640625
GOOGL,2,USD,317.6199951171875,635.239990234375,98505.39046320319,9.64,31.354393,33.37983626417122,1.9093397504504117,155.0679931640625
IONQ,11,USD,54.7599983215332,602.3599815368652,93406.75349926343,9.14,,119.55493389501723,0.9142856813382365,155.0679931640625
SOFI,20,USD,29.600000381469727,592.0000076293945,91800.2531361999,8.98,52.857143,64.53660480879645,1.261056338456055,155.0679931640625
AMZN,2,USD,229.11000061035156,458.2200012207031,71055.2560169287,6.95,32.36017,34.96145478733389,0.16889212137013274,155.0679931640625
AAPL,1,USD,280.70001220703125,280.70001220703125,43527.58757407218,4.26,37.576977,32.771473356864874,0.4980894597317789,155.0679931640625
QQQM,1,USD,256.4599914550781,256.4599914550781,39768.73620181158,3.89,35.12476,23.70103350191316,0.7297723732413888,155.0679931640625
BBD,56,USD,3.630000114440918,203.2800064086914,31522.22264417354,3.08,10.083333,37.70095937779536,1.7115757794625517,155.0679931640625
NVDA,1,USD,183.3800048828125,183.3800048828125,28436.369343593717,2.78,45.50372,49.83760332355473,0.6458337635940944,155.0679931640625
PFE,4,USD,25.700000762939453,102.80000305175781,15940.990170495585,1.56,14.94186,26.383181587701067,0.2472225457403459,155.0679931640625
GLDM,1,USD,83.33000183105469,83.33000183105469,12921.816154299304,1.26,,19.404844196450522,2.3393845507950437,155.0679931640625
RKLB,1,USD,49.369998931884766,49.369998931884766,7655.70665687928,0.75,,87.31901494664534,1.2203115170487815,155.0679931640625
MSFT,0,USD,480.8399963378906,0.0,0.0,0.0,34.247864,24.479957638059307,0.3298953502259419,155.0679931640625
