ticker,name,shares,currency,price,value,value_jp,ratio,PER,sigma,sharpe,dividend_yield,sector,industry,country,usd_jpy_rate
PLTR,Palantir Technologies Inc.,10,USD,179.16009521484375,1791.6009521484375,278158,27.31,416.65137,67.96238169472161,1.6319076981580296,,Technology,Software - Infrastructure,United States,155.2570037841797
TSLA,"Tesla, Inc.",3,USD,454.6000061035156,1363.8000183105469,211739,20.79,313.43448,65.307037609829,0.5820335452064924,,Consumer Cyclical,Auto Manufacturers,United States,155.2570037841797
GOOGL,Alphabet Inc.,2,USD,321.0000915527344,642.0001831054688,99675,9.79,31.668322,33.322310368749,1.9366973938876586,26.0,Communication Services,Internet Content & Information,United States,155.2570037841797
IONQ,"IonQ, Inc.",11,USD,53.97999954223633,593.7799949645996,92188,9.05,,119.32945634844849,0.9001829697172019,,Technology,Computer Hardware,United States,155.2570037841797
SOFI,"SoFi Technologies, Inc.",20,USD,27.365400314331055,547.3080062866211,84973,8.34,48.866787,64.89196614005884,1.1316198706379696,,Financial Services,Credit Services,United States,155.2570037841797
AMZN,"Amazon.com, Inc.",2,USD,230.33999633789062,460.67999267578125,71523,7.02,32.545906,34.89475623021753,0.18358771124472187,,Consumer Cyclical,Internet Retail,United States,155.2570037841797
AAPL,Apple Inc.,1,USD,280.02239990234375,280.02239990234375,43475,4.27,37.48059,32.70720218393184,0.4891430798877825,37.0,Technology,Consumer Electronics,United States,155.2570037841797
QQQM,Invesco NASDAQ 100 ETF,1,USD,257.94000244140625,257.94000244140625,40046,3.93,35.32746,23.658573009347368,0.7520692630609118,50.0,,,,155.2570037841797
BBD,Banco Bradesco S.A.,56,USD,3.625,203.0,31517,3.09,10.069444,37.62742297389038,1.7039459608247887,497.0,Financial Services,Banks - Regional,Brazil,155.2570037841797
NVDA,NVIDIA Corporation,1,USD,184.1627960205078,184.1627960205078,28592,2.81,45.695904,49.738251319637136,0.6528647017415755,2.0,Technology,Semiconductors,United States,155.2570037841797
PFE,Pfizer Inc.,4,USD,25.739999771118164,102.95999908447266,15985,1.57,14.965116,26.330397925041062,0.25207755879467525,669.0,Healthcare,Drug Manufacturers - General,United States,155.2570037841797
GLDM,SPDR Gold MiniShares,1,USD,83.72000122070312,83.72000122070312,12998,1.28,,19.36776486225481,2.358019812792535,0.0,,,,155.2570037841797
RKLB,Rocket Lab Corporation,1,USD,48.630001068115234,48.630001068115234,7550,0.74,,87.16520959974538,1.2000579331680186,,Industrials,Aerospace & Defense,United States,155.2570037841797
MSFT,Microsoft Corporation,0,USD,481.0199890136719,0.0,0,0.0,34.260685,24.430753904806824,0.3301270709192928,76.0,Technology,Software - Infrastructure,United States,155.2570037841797
