ticker,name,shares,currency,price,value,value_jp,ratio,PER,sigma,sharpe,sector,industry,country,usd_jpy_rate
3289.T,東急不動産ホールディングス(株),100,JPY,1404.0,904.5867206880371,140400,35.12,9.58231,23.30019780247104,1.6616477949634563,Real Estate,Real Estate - Diversified,Japan,155.20899963378906
4755.T,楽天グループ(株),100,JPY,952.0999755859375,613.4309078934782,95209,23.81,,38.22139583546436,0.446005900318182,Consumer Cyclical,Internet Retail,Japan,155.20899963378906
1305.T,iFreeETF TOPIX(年1回決算型),20,JPY,3560.0,458.73628570504445,71200,17.81,17.664501,20.103912605701783,1.0908773156326297,,,,155.20899963378906
186A.T,(株)アストロスケールホールディングス,100,JPY,655.0,422.0116111471968,65500,16.38,,71.77825785748529,0.11112064545588268,Industrials,Aerospace & Defense,Japan,155.20899963378906
9434.T,ソフトバンク(株),100,JPY,215.1999969482422,138.6517518030527,21519,5.38,19.12889,17.533402588145595,0.6003032507271893,Communication Services,Telecom Services,Japan,155.20899963378906
8058.T,三菱商事(株),1,JPY,3744.0,24.122312551680988,3744,0.94,21.393064,26.57881034264875,1.5928974428498217,Industrials,Conglomerates,Japan,155.20899963378906
7267.T,ホンダ,1,JPY,1520.0,9.793246548759376,1520,0.38,10.002632,35.11954049332311,0.6901886361931632,Consumer Cyclical,Auto Manufacturers,Japan,155.20899963378906
8698.T,マネックスグループ(株),1,JPY,726.0,4.6775638121048075,726,0.18,,43.92714027836818,-0.8832821253757351,Financial Services,Capital Markets,Japan,155.20899963378906
