ticker,name,shares,currency,price,value,value_jp,ratio,PER,sigma,sharpe,dividend_yield,sector,industry,country,usd_jpy_rate
PLTR,Palantir Technologies Inc.,10,USD,179.21499633789062,1792.1499633789062,278202,27.33,416.8721,67.9624995014712,1.6323625343446042,,Technology,Software - Infrastructure,United States,155.23399353027344
TSLA,"Tesla, Inc.",3,USD,455.79998779296875,1367.3999633789062,212266,20.86,314.3724,65.30695646743247,0.5861091327110922,,Consumer Cyclical,Auto Manufacturers,United States,155.23399353027344
GOOGL,Alphabet Inc.,2,USD,321.96551513671875,643.9310302734375,99959,9.82,31.786772,33.33101489341369,1.9453835507772477,26.0,Communication Services,Internet Content & Information,United States,155.23399353027344
IONQ,"IonQ, Inc.",11,USD,53.71500015258789,590.8650016784668,91722,9.01,,119.3381058801235,0.8960301774156615,,Technology,Computer Hardware,United States,155.23399353027344
SOFI,"SoFi Technologies, Inc.",20,USD,27.111400604248047,542.2280120849609,84172,8.27,48.419643,65.00273507519616,1.1163848147369224,,Financial Services,Credit Services,United States,155.23399353027344
AMZN,"Amazon.com, Inc.",2,USD,230.66000366210938,461.32000732421875,71612,7.04,32.579098,34.89704543301228,0.187610149775365,,Consumer Cyclical,Internet Retail,United States,155.23399353027344
AAPL,Apple Inc.,1,USD,279.3497009277344,279.3497009277344,43364,4.26,37.39625,32.710464533157634,0.48170907005833924,37.0,Technology,Consumer Electronics,United States,155.23399353027344
QQQM,Invesco NASDAQ 100 ETF,1,USD,257.7699890136719,257.7699890136719,40014,3.93,35.304176,23.657270236293304,0.7492860119525021,50.0,,,,155.23399353027344
BBD,Banco Bradesco S.A.,56,USD,3.630000114440918,203.2800064086914,31555,3.1,10.083333,37.626167222866755,1.707692827339266,497.0,Financial Services,Banks - Regional,Brazil,155.23399353027344
NVDA,NVIDIA Corporation,1,USD,183.16000366210938,183.16000366210938,28432,2.79,45.42928,49.73813911788994,0.6417838385961994,2.0,Technology,Semiconductors,United States,155.23399353027344
PFE,Pfizer Inc.,4,USD,25.71500015258789,102.86000061035156,15967,1.57,14.950582,26.330161290669484,0.24835591007437147,669.0,Healthcare,Drug Manufacturers - General,United States,155.23399353027344
GLDM,SPDR Gold MiniShares,1,USD,83.79000091552734,83.79000091552734,13007,1.28,,19.369137634070814,2.3622243362151805,0.0,,,,155.23399353027344
RKLB,Rocket Lab Corporation,1,USD,48.540000915527344,48.540000915527344,7535,0.74,,87.16948635639584,1.1978910282549091,,Industrials,Aerospace & Defense,United States,155.23399353027344
MSFT,Microsoft Corporation,0,USD,482.0899963378906,0.0,0,0.0,34.336895,24.431675568066886,0.339295661320668,76.0,Technology,Software - Infrastructure,United States,155.23399353027344
