ticker,name,shares,price,PER,sigma,sharpe,value,ratio
3289.T,Tokyu Fudosan Holdings Corporation,100,1224.0,11.258278,22.140864629657532,1.2685555246980051,122400.0,30.06
4755.T,"Rakuten Group, Inc.",100,993.7000122070312,-130.57819,37.034580768993834,0.2838632566135325,99370.00122070312,24.41
186A.T,ASTROSCALE HOLDINGS INC,100,877.0,-248.44193,71.13368498667361,-0.017234138227548188,87700.0,21.54
1305.T,iFreeETF TOPIX (Yearly Dividend Type),20,3383.0,16.786238,19.991727986467055,1.0865024474662128,67660.0,16.62
9434.T,SoftBank Corp.,100,214.89999389648438,19.833948,16.73326471476109,1.0346027575791503,21489.999389648438,5.28
8058.T,Mitsubishi Corporation,1,3578.0,15.182246,26.05554327725383,1.0821679870653815,3578.0,0.88
8173.T,"Joshin Denki Co., Ltd.",1,2607.0,19.867397,19.60602857874897,0.3162793361539697,2607.0,0.64
7267.T,"Honda Motor Co., Ltd.",1,1542.5,10.722975,35.34588990532938,0.3083317038205665,1542.5,0.38
8698.T,"Monex Group, Inc.",1,793.0,15.521628,47.89830810875325,0.8576821959638817,793.0,0.19
