ticker,name,shares,currency,price,value,value_jp,ratio,PER,sigma,sharpe,dividend_yield,sector,industry,country,usd_jpy_rate
PLTR,Palantir Technologies Inc.,10,USD,178.94000244140625,1789.4000244140625,277625,27.31,416.1042,67.96205120733728,1.630080891544169,,Technology,Software - Infrastructure,United States,155.14999389648438
TSLA,"Tesla, Inc.",3,USD,456.0849914550781,1368.2549743652344,212284,20.88,314.45862,65.30709529058083,0.5870756922470546,,Consumer Cyclical,Auto Manufacturers,United States,155.14999389648438
GOOGL,Alphabet Inc.,2,USD,321.8800048828125,643.760009765625,99879,9.83,31.774925,33.330135820304996,1.944620974806782,26.0,Communication Services,Internet Content & Information,United States,155.14999389648438
IONQ,"IonQ, Inc.",11,USD,53.29999923706055,586.299991607666,90964,8.95,,119.3556241593921,0.8894983203065336,,Technology,Computer Hardware,United States,155.14999389648438
SOFI,"SoFi Technologies, Inc.",20,USD,27.28499984741211,545.6999969482422,84665,8.33,48.73393,64.92581251063864,1.1268128856416664,,Financial Services,Credit Services,United States,155.14999389648438
AMZN,"Amazon.com, Inc.",2,USD,230.0800018310547,460.1600036621094,71393,7.02,32.493645,34.8933111748167,0.18031709140070365,,Consumer Cyclical,Internet Retail,United States,155.14999389648438
AAPL,Apple Inc.,1,USD,279.9100036621094,279.9100036621094,43428,4.27,37.469227,32.70762133439286,0.4879027724063924,37.0,Technology,Consumer Electronics,United States,155.14999389648438
QQQM,Invesco NASDAQ 100 ETF,1,USD,257.7449951171875,257.7449951171875,39989,3.93,35.300755,23.65709456759961,0.7488763146179457,50.0,,,,155.14999389648438
BBD,Banco Bradesco S.A.,56,USD,3.6298999786376953,203.27439880371094,31538,3.1,10.0830555,37.62619106185757,1.7076180450045333,497.0,Financial Services,Banks - Regional,Brazil,155.14999389648438
NVDA,NVIDIA Corporation,1,USD,181.47000122070312,181.47000122070312,28155,2.77,45.032253,49.75166917902877,0.6229374490076754,2.0,Technology,Semiconductors,United States,155.14999389648438
PFE,Pfizer Inc.,4,USD,25.719999313354492,102.87999725341797,15961,1.57,14.947674,26.3301742882103,0.24910070555630306,669.0,Healthcare,Drug Manufacturers - General,United States,155.14999389648438
GLDM,SPDR Gold MiniShares,1,USD,84.018798828125,84.018798828125,13035,1.28,,19.37618498273859,2.3756489397323617,0.0,,,,155.14999389648438
RKLB,Rocket Lab Corporation,1,USD,48.689998626708984,48.689998626708984,7554,0.74,,87.16257193052388,1.2014996519668335,,Industrials,Aerospace & Defense,United States,155.14999389648438
MSFT,Microsoft Corporation,0,USD,481.2799987792969,0.0,0,0.0,34.2792,24.430787230014506,0.33235765626696434,76.0,Technology,Software - Infrastructure,United States,155.14999389648438
