ticker,name,sector,shares,currency,price,value,value_jp,ratio,PER,sigma,sharpe,usd_jpy_rate
3289.T,東急不動産ホールディングス(株),Real Estate,100,JPY,1404.0,904.9773855344923,140400,34.89,9.58231,23.30020044065741,1.6616476321717264,155.14199829101562
4755.T,楽天グループ(株),Consumer Cyclical,100,JPY,952.0999755859375,613.6958309638288,95209,23.66,,38.22139583546436,0.446005900318182,155.14199829101562
1305.T,iFreeETF TOPIX(年1回決算型),Unknown,20,JPY,3560.0,458.93440064142345,71200,17.69,17.664501,20.103912605701783,1.0908773156326297,155.14199829101562
186A.T,(株)アストロスケールホールディングス,Industrials,100,JPY,655.0,422.1938657586129,65500,16.28,,71.77825785748529,0.11112064545588268,155.14199829101562
9434.T,ソフトバンク(株),Communication Services,100,JPY,215.1999969482422,138.71163148522146,21519,5.35,19.12889,17.53340592007928,0.6003031699715846,155.14199829101562
8058.T,三菱商事(株),Industrials,1,JPY,3744.0,24.132730280919795,3744,0.93,21.393064,26.578808719985297,1.5928971420299767,155.14199829101562
8173.T,上新電機(株),Consumer Cyclical,1,JPY,2623.0,16.907091753967048,2623,0.65,21.863798,19.797009370469638,0.9156681698571812,155.14199829101562
7267.T,ホンダ,Consumer Cyclical,1,JPY,1520.0,9.79747596874949,1520,0.38,10.002632,35.11954049332311,0.6901886361931632,155.14199829101562
8698.T,マネックスグループ(株),Financial Services,1,JPY,726.0,4.6795839166527164,726,0.18,,43.92714027836818,-0.8832821253757351,155.14199829101562
