ticker,name,shares,currency,price,value,value_jp,ratio,PER,sigma,sharpe,usd_jpy_rate
3289.T,東急不動産ホールディングス(株),100,JPY,1404.0,904.965725653569,140400,34.89,9.58231,23.30019780247104,1.6616477949634563,155.1439971923828
4755.T,楽天グループ(株),100,JPY,952.0999755859375,613.687924003471,95209,23.66,,38.22139583546436,0.446005900318182,155.1439971923828
1305.T,iFreeETF TOPIX(年1回決算型),20,JPY,3560.0,458.9284876533769,71200,17.69,17.664501,20.103912605701783,1.0908773156326297,155.1439971923828
186A.T,(株)アストロスケールホールディングス,100,JPY,655.0,422.1884261418004,65500,16.28,,71.77825785748529,0.11112064545588268,155.1439971923828
9434.T,ソフトバンク(株),100,JPY,215.1999969482422,138.70984430121928,21519,5.35,19.12889,17.53340592007928,0.6003031699715846,155.1439971923828
8058.T,三菱商事(株),1,JPY,3744.0,24.132419350761843,3744,0.93,21.393064,26.578808719985297,1.5928971420299767,155.1439971923828
8173.T,上新電機(株),1,JPY,2623.0,16.906873920151792,2623,0.65,21.863798,19.797007049000445,0.9156682542202661,155.1439971923828
7267.T,ホンダ,1,JPY,1520.0,9.797349736420406,1520,0.38,10.002632,35.11953434877472,0.6901889924941853,155.1439971923828
8698.T,マネックスグループ(株),1,JPY,726.0,4.6795236241060625,726,0.18,,43.92714027836818,-0.8832821253757351,155.1439971923828
