ticker,name,shares,currency,price,value,value_jp,ratio,PER,sigma,sharpe,usd_jpy_rate
3289.T,東急不動産ホールディングス(株),100,JPY,1404.0,904.9540660730977,140400,35.31,9.58231,23.30019780247104,1.6616477949634563,155.14599609375
4755.T,楽天グループ(株),100,JPY,952.0999755859375,613.6800172468598,95209,23.95,,38.22139583546436,0.446005900318182,155.14599609375
1305.T,iFreeETF TOPIX(年1回決算型),20,JPY,3560.0,458.9225748176963,71200,17.91,17.664501,20.103912605701783,1.0908773156326297,155.14599609375
186A.T,(株)アストロスケールホールディングス,100,JPY,655.0,422.18298666515597,65500,16.47,,71.77825785748529,0.11112064545588268,155.14599609375
9434.T,ソフトバンク(株),100,JPY,215.1999969482422,138.70805716326922,21519,5.41,19.12889,17.53340592007928,0.6003031699715846,155.14599609375
8058.T,三菱商事(株),1,JPY,3744.0,24.13210842861594,3744,0.94,21.393064,26.57881034264875,1.5928974428498217,155.14599609375
8173.T,N/A,1,N/A,0.0,0.0,0,0.0,,,,155.14599609375
7267.T,N/A,1,N/A,0.0,0.0,0,0.0,,,,155.14599609375
8698.T,N/A,1,N/A,0.0,0.0,0,0.0,,,,155.14599609375
