ticker,name,shares,currency,price,value,value_jp,ratio,PER,sigma,sharpe,sector,industry,country,usd_jpy_rate
3289.T,東急不動産ホールディングス(株),100,JPY,1404.0,904.8782416285588,140400,34.89,9.58231,23.30020044065741,1.6616476321717264,Real Estate,Real Estate - Diversified,Japan,155.15899658203125
4755.T,楽天グループ(株),100,JPY,952.0999755859375,613.6285981216502,95209,23.66,,38.22139583546436,0.446005900318182,Consumer Cyclical,Internet Retail,Japan,155.15899658203125
1305.T,iFreeETF TOPIX(年1回決算型),20,JPY,3560.0,458.88412253528054,71200,17.69,17.664501,20.103912605701783,1.0908773156326297,,,,155.15899658203125
186A.T,(株)アストロスケールホールディングス,100,JPY,655.0,422.14761272557405,65500,16.28,,71.77825785748529,0.11112064545588268,Industrials,Aerospace & Defense,Japan,155.15899658203125
9434.T,ソフトバンク(株),100,JPY,215.1999969482422,138.6964350690859,21519,5.35,19.12889,17.533402588145595,0.6003032507271893,Communication Services,Telecom Services,Japan,155.15899658203125
8058.T,三菱商事(株),1,JPY,3744.0,24.130086443428233,3744,0.93,21.393064,26.578808719985297,1.5928971420299767,Industrials,Conglomerates,Japan,155.15899658203125
8173.T,上新電機(株),1,JPY,2623.0,16.905239514185965,2623,0.65,21.863798,19.797007049000445,0.9156682542202661,Consumer Cyclical,Specialty Retail,Japan,155.15899658203125
7267.T,ホンダ,1,JPY,1520.0,9.79640261592172,1520,0.38,10.002632,35.11954049332311,0.6901886361931632,Consumer Cyclical,Auto Manufacturers,Japan,155.15899658203125
8698.T,マネックスグループ(株),1,JPY,726.0,4.679071249446821,726,0.18,,43.92713904794714,-0.8832821624414745,Financial Services,Capital Markets,Japan,155.15899658203125
