ticker,name,shares,currency,price,value,value_jp,ratio,PER,sigma,sharpe,dividend_yield,sector,industry,country,usd_jpy_rate
3289.T,東急不動産ホールディングス(株),100,JPY,1404.0,904.9481918944613,140400,33.81,9.58231,23.30020044065741,1.6616476321717264,310.0,Real Estate,Real Estate - Diversified,Japan,155.14700317382812
4755.T,楽天グループ(株),100,JPY,952.0999755859375,613.6760337672755,95209,22.93,,38.22139583546436,0.446005900318182,,Consumer Cyclical,Internet Retail,Japan,155.14700317382812
1305.T,iFreeETF TOPIX(年1回決算型),20,JPY,3560.0,458.91959588949885,71200,17.15,17.664501,20.103912605701783,1.0908773156326297,212.0,,,,155.14700317382812
186A.T,(株)アストロスケールホールディングス,100,JPY,655.0,422.1802462185699,65500,15.78,,71.77825785748529,0.11112064545588268,,Industrials,Aerospace & Defense,Japan,155.14700317382812
9434.T,ソフトバンク(株),100,JPY,215.1999969482422,138.70715679060208,21519,5.18,19.12889,17.533402588145595,0.6003032507271893,393.0,Communication Services,Telecom Services,Japan,155.14700317382812
9432.T,ＮＴＴ(株),100,JPY,153.89999389648438,99.19624017748728,15389,3.71,12.253183,16.588577810146894,-0.012940691177346865,341.0,Communication Services,Telecom Services,Japan,155.14700317382812
8058.T,三菱商事(株),1,JPY,3744.0,24.1319517838523,3744,0.9,21.393064,26.578808719985297,1.5928971420299767,287.0,Industrials,Conglomerates,Japan,155.14700317382812
7267.T,ホンダ,1,JPY,1520.0,9.797159912247729,1520,0.37,10.002632,35.11953434877472,0.6901889924941853,451.99999999999994,Consumer Cyclical,Auto Manufacturers,Japan,155.14700317382812
8698.T,マネックスグループ(株),1,JPY,726.0,4.679432958086744,726,0.17,,43.92713904794714,-0.8832821624414745,412.0,Financial Services,Capital Markets,Japan,155.14700317382812
