,AAPL,MSFT,GOOGL,TSLA,AMZN,PLTR,SOFI,IONQ,QQQM,NVDA,BBD,GLDM,PFE,RKLB
AAPL,1.0,0.4999077501770926,0.49046293635617644,0.5293221855213346,0.5681988506341803,0.3571740713865198,0.46202626722741125,0.2397283955366923,0.7205943313062875,0.4284084142393876,0.2709960284396607,0.018376581766808592,0.2915986326256355,0.2310013057963469
MSFT,0.4999077501770926,1.0,0.4451478317787151,0.5001731188561392,0.6066988070219635,0.46417799461981124,0.5410625856709359,0.33313927711428354,0.7503341812590982,0.6313937006701583,0.2504160061920303,-0.03870237233753437,0.04766005460390732,0.3924951958029138
GOOGL,0.49046293635617644,0.4451478317787151,1.0,0.5545685661528403,0.5454534511395815,0.3961162451558847,0.46703563908525864,0.34421187324193186,0.6620697778131572,0.46221613890132596,0.27010114945393043,0.08802088568078668,0.06790923306627034,0.3011417201067678
TSLA,0.5293221855213346,0.5001731188561392,0.5545685661528403,1.0,0.5501561825193775,0.5216915514445728,0.5720703358076604,0.4786498739475704,0.7274159249504089,0.5072834662778974,0.2568847157901245,0.01603871161871843,0.1576534905984987,0.4463380103406857
AMZN,0.5681988506341803,0.6066988070219635,0.5454534511395815,0.5501561825193775,1.0,0.5007933485340972,0.6119207528035928,0.3765719628530451,0.778640912665353,0.5632076292077125,0.21268902387973923,-0.12944296906800942,0.11777526042025231,0.41550893078951223
PLTR,0.3571740713865198,0.46417799461981124,0.3961162451558847,0.5216915514445728,0.5007933485340972,1.0,0.5582185508148353,0.43705542868670677,0.6612332855522554,0.5671046511445678,0.2718022602186751,0.03089707510987392,0.09195765313431742,0.5164168741653034
SOFI,0.46202626722741125,0.5410625856709359,0.46703563908525864,0.5720703358076604,0.6119207528035928,0.5582185508148353,1.0,0.495912735094961,0.7592121088920963,0.6009658074400466,0.2690744783657776,0.04522890940428674,0.12918342634484853,0.6035922475333427
IONQ,0.2397283955366923,0.33313927711428354,0.34421187324193186,0.4786498739475704,0.3765719628530451,0.43705542868670677,0.495912735094961,1.0,0.4784932266605427,0.3465733708045114,0.20701304731858292,-0.003435998290227898,0.11888849592120614,0.5739652419249258
QQQM,0.7205943313062875,0.7503341812590982,0.6620697778131572,0.7274159249504089,0.778640912665353,0.6612332855522554,0.7592121088920963,0.4784932266605427,1.0,0.7909987504006954,0.33680005275365754,0.03715866887873404,0.22900687906039585,0.5445345697985852
NVDA,0.4284084142393876,0.6313937006701583,0.46221613890132596,0.5072834662778974,0.5632076292077125,0.5671046511445678,0.6009658074400466,0.3465733708045114,0.7909987504006954,1.0,0.1575045917980909,0.0026498570998989687,0.03816169531181962,0.4516527238914999
BBD,0.2709960284396607,0.2504160061920303,0.27010114945393043,0.2568847157901245,0.21268902387973923,0.2718022602186751,0.2690744783657776,0.20701304731858292,0.33680005275365754,0.1575045917980909,1.0,0.10387390407536344,0.12781193261988139,0.1742245082883991
GLDM,0.018376581766808592,-0.03870237233753437,0.08802088568078668,0.01603871161871843,-0.12944296906800942,0.03089707510987392,0.04522890940428674,-0.003435998290227898,0.03715866887873404,0.0026498570998989687,0.10387390407536344,1.0,0.023081642827826085,0.04025289039565336
PFE,0.2915986326256355,0.04766005460390732,0.06790923306627034,0.1576534905984987,0.11777526042025231,0.09195765313431742,0.12918342634484853,0.11888849592120614,0.22900687906039585,0.03816169531181962,0.12781193261988139,0.023081642827826085,1.0,0.10632632659607427
RKLB,0.2310013057963469,0.3924951958029138,0.3011417201067678,0.4463380103406857,0.41550893078951223,0.5164168741653034,0.6035922475333427,0.5739652419249258,0.5445345697985852,0.4516527238914999,0.1742245082883991,0.04025289039565336,0.10632632659607427,1.0
