ticker,name,shares,currency,price,value,value_jp,ratio,PER,sigma,sharpe,dividend_yield,sector,industry,country,usd_jpy_rate
PLTR,Palantir Technologies Inc.,10,USD,180.67999267578125,1806.7999267578125,280420,27.48,420.2093,67.97085887081494,1.6443727315557928,,Technology,Software - Infrastructure,United States,155.2030029296875
TSLA,"Tesla, Inc.",3,USD,454.8500061035156,1364.5500183105469,211782,20.75,313.68964,65.30693198908766,0.5828834298710607,,Consumer Cyclical,Auto Manufacturers,United States,155.2030029296875
GOOGL,Alphabet Inc.,2,USD,321.1000061035156,642.2000122070312,99671,9.77,31.69617,33.32309207955573,1.9376033542766977,26.0,Communication Services,Internet Content & Information,United States,155.2030029296875
IONQ,"IonQ, Inc.",11,USD,53.18000030517578,584.9800033569336,90790,8.9,,119.3615931573877,0.8876032499596463,,Technology,Computer Hardware,United States,155.2030029296875
SOFI,"SoFi Technologies, Inc.",20,USD,27.656999588012695,553.1399917602539,85848,8.41,49.410713,64.77869584404107,1.1489279166418038,,Financial Services,Credit Services,United States,155.2030029296875
AMZN,"Amazon.com, Inc.",2,USD,230.5800018310547,461.1600036621094,71573,7.01,32.5678,34.896420316181256,0.18660487204675835,,Consumer Cyclical,Internet Retail,United States,155.2030029296875
AAPL,Apple Inc.,1,USD,280.822998046875,280.822998046875,43584,4.27,37.597057,32.70562797563352,0.4979568869491598,37.0,Technology,Consumer Electronics,United States,155.2030029296875
QQQM,Invesco NASDAQ 100 ETF,1,USD,258.82000732421875,258.82000732421875,40169,3.94,35.447987,23.66827517183999,0.766374285830954,50.0,,,,155.2030029296875
BBD,Banco Bradesco S.A.,56,USD,3.6449999809265137,204.11999893188477,31680,3.1,10.125,37.625451057059685,1.7187956997959108,497.0,Financial Services,Banks - Regional,Brazil,155.2030029296875
NVDA,NVIDIA Corporation,1,USD,183.01820373535156,183.01820373535156,28404,2.78,45.413944,49.73861516288722,0.6402106478122156,2.0,Technology,Semiconductors,United States,155.2030029296875
PFE,Pfizer Inc.,4,USD,25.709999084472656,102.83999633789062,15961,1.56,14.947674,26.33015513196203,0.24761098702823792,669.0,Healthcare,Drug Manufacturers - General,United States,155.2030029296875
GLDM,SPDR Gold MiniShares,1,USD,83.97000122070312,83.97000122070312,13032,1.28,,19.374353096843965,2.372826856966463,0.0,,,,155.2030029296875
RKLB,Rocket Lab Corporation,1,USD,49.439998626708984,49.439998626708984,7673,0.75,,87.14400908161691,1.219327585456329,,Industrials,Aerospace & Defense,United States,155.2030029296875
MSFT,Microsoft Corporation,0,USD,483.0199890136719,0.0,0,0.0,34.4042,24.43414392814591,0.3472400322875313,76.0,Technology,Software - Infrastructure,United States,155.2030029296875
