ticker,name,shares,currency,price,value,value_jp,ratio,PER,sigma,sharpe,dividend_yield,sector,industry,country,usd_jpy_rate
PLTR,Palantir Technologies Inc.,10,USD,178.8000030517578,1788.0000305175781,277561,27.28,415.81396,67.9619590873843,1.628916033440104,,Technology,Software - Infrastructure,United States,155.23599243164062
TSLA,"Tesla, Inc.",3,USD,454.239990234375,1362.719970703125,211543,20.79,313.3793,65.3072717465666,0.580808932583641,,Consumer Cyclical,Auto Manufacturers,United States,155.23599243164062
GOOGL,Alphabet Inc.,2,USD,320.9200134277344,641.8400268554688,99636,9.79,31.690027,33.32171468122357,1.9359690852510578,26.0,Communication Services,Internet Content & Information,United States,155.23599243164062
IONQ,"IonQ, Inc.",11,USD,53.86000061035156,592.4600067138672,91971,9.04,,119.33312810000449,0.8983042420424304,,Technology,Computer Hardware,United States,155.23599243164062
SOFI,"SoFi Technologies, Inc.",20,USD,27.344999313354492,546.8999862670898,84898,8.34,48.830357,64.90044757578929,1.1304015209614484,,Financial Services,Credit Services,United States,155.23599243164062
AMZN,"Amazon.com, Inc.",2,USD,230.5399932861328,461.0799865722656,71576,7.04,32.562145,34.896120904988464,0.1861020533718273,,Consumer Cyclical,Internet Retail,United States,155.23599243164062
AAPL,Apple Inc.,1,USD,280.6499938964844,280.6499938964844,43566,4.28,37.546856,32.70575188044294,0.49605541860905267,37.0,Technology,Consumer Electronics,United States,155.23599243164062
QQQM,Invesco NASDAQ 100 ETF,1,USD,257.8299865722656,257.8299865722656,40024,3.93,35.315136,23.657710897610983,0.7502685758721872,50.0,,,,155.23599243164062
BBD,Banco Bradesco S.A.,56,USD,3.625,203.0,31512,3.1,10.069444,37.6274226334492,1.7039461194053096,497.0,Financial Services,Banks - Regional,Brazil,155.23599243164062
NVDA,NVIDIA Corporation,1,USD,183.93350219726562,183.93350219726562,28553,2.81,45.652603,49.73769635826848,0.650337976437164,2.0,Technology,Semiconductors,United States,155.23599243164062
PFE,Pfizer Inc.,4,USD,25.739999771118164,102.95999908447266,15983,1.57,14.965116,26.330402773562277,0.2520772548781361,669.0,Healthcare,Drug Manufacturers - General,United States,155.23599243164062
GLDM,SPDR Gold MiniShares,1,USD,83.76499938964844,83.76499938964844,13003,1.28,,19.368605178531084,2.3607278280743147,0.0,,,,155.23599243164062
RKLB,Rocket Lab Corporation,1,USD,48.739601135253906,48.739601135253906,7566,0.74,,87.16052017115409,1.2026898686938339,,Industrials,Aerospace & Defense,United States,155.23599243164062
MSFT,Microsoft Corporation,0,USD,482.44000244140625,0.0,0,0.0,34.361824,24.432425265665913,0.34228837784425575,76.0,Technology,Software - Infrastructure,United States,155.23599243164062
