,AAPL,MSFT,GOOGL,TSLA,AMZN,PLTR,SOFI,IONQ,QQQM,NVDA,BBD,GLDM,PFE,RKLB
AAPL,1.0,0.49999029575034837,0.4904817502068231,0.5293244928368559,0.5682528169517138,0.3572163515941976,0.46164510733335096,0.23966006543199664,0.7206064167270841,0.42838820088565055,0.27101034711431937,0.018500863175040943,0.29157819851587485,0.23096979756201022
MSFT,0.49999029575034837,1.0,0.4451132152631813,0.5002170880204648,0.606675073142425,0.46416947271415826,0.5411301404078331,0.33337981681660656,0.7502604328306737,0.6314988465847383,0.2504169143328262,-0.03884404616885385,0.04773771123264997,0.39266021000890194
GOOGL,0.4904817502068231,0.4451132152631813,1.0,0.5545572693248298,0.5455022647790277,0.3961376754728526,0.46639799999733594,0.3442827072834989,0.662153631968603,0.4622248642496737,0.2700832738453014,0.08806873192867713,0.06799584134961155,0.3013265562792664
TSLA,0.5293244928368559,0.5002170880204648,0.5545572693248298,1.0,0.5501815581234478,0.5217125496427318,0.5717631335367184,0.4786901652191333,0.7273944761514237,0.5072841181480893,0.25689073778385985,0.01610033220817713,0.15765262481803485,0.4463546681314935
AMZN,0.5682528169517138,0.606675073142425,0.5455022647790277,0.5501815581234478,1.0,0.5008045844301156,0.6115897322076663,0.3767281030672388,0.7786494086512911,0.5632623882145391,0.21268733706327927,-0.12948772191062657,0.11785487630692872,0.4156803239810049
PLTR,0.3572163515941976,0.46416947271415826,0.3961376754728526,0.5217125496427318,0.5008045844301156,1.0,0.5580065051736719,0.43720208578771,0.6612180340044308,0.5671521612586485,0.2718025297526636,0.030870325763391385,0.09201007854025044,0.5165367000338568
SOFI,0.46164510733335096,0.5411301404078331,0.46639799999733594,0.5717631335367184,0.6115897322076663,0.5580065051736719,1.0,0.49538682368489606,0.7585389641247674,0.6005760922968773,0.26900416413882505,0.04546867311150523,0.12879973342335435,0.602743019646426
IONQ,0.23966006543199664,0.33337981681660656,0.3442827072834989,0.4786901652191333,0.3767281030672388,0.43720208578771,0.49538682368489606,1.0,0.4786181493715135,0.3465060257121787,0.2070738274831669,-0.0031162033040428106,0.11876518658939844,0.5738275505820197
QQQM,0.7206064167270841,0.7502604328306737,0.662153631968603,0.7273944761514237,0.7786494086512911,0.6612180340044308,0.7585389641247674,0.4786181493715135,1.0,0.7909972785898718,0.33677402731387535,0.03717043769266237,0.22909466533119655,0.5447303640050821
NVDA,0.42838820088565055,0.6314988465847383,0.4622248642496737,0.5072841181480893,0.5632623882145391,0.5671521612586485,0.6005760922968773,0.3465060257121787,0.7909972785898718,1.0,0.15751929032177853,0.0027848159031529044,0.038118046399451,0.4516038745500019
BBD,0.27101034711431937,0.2504169143328262,0.2700832738453014,0.25689073778385985,0.21268733706327927,0.2718025297526636,0.26900416413882505,0.2070738274831669,0.33677402731387535,0.15751929032177853,1.0,0.10387367925927961,0.12782885040694586,0.1742591375638235
GLDM,0.018500863175040943,-0.03884404616885385,0.08806873192867713,0.01610033220817713,-0.12948772191062657,0.030870325763391385,0.04546867311150523,-0.0031162033040428106,0.03717043769266237,0.0027848159031529044,0.10387367925927961,1.0,0.023239885041961245,0.040550970938211695
PFE,0.29157819851587485,0.04773771123264997,0.06799584134961155,0.15765262481803485,0.11785487630692872,0.09201007854025044,0.12879973342335435,0.11876518658939844,0.22909466533119655,0.038118046399451,0.12782885040694586,0.023239885041961245,1.0,0.10627726792392114
RKLB,0.23096979756201022,0.39266021000890194,0.3013265562792664,0.4463546681314935,0.4156803239810049,0.5165367000338568,0.602743019646426,0.5738275505820197,0.5447303640050821,0.4516038745500019,0.1742591375638235,0.040550970938211695,0.10627726792392114,1.0
