ticker,shares,currency,price,value,value_jp,ratio,PER,sigma,sharpe,usd_jpy_rate
3289.T,100,JPY,1404.0,905.3567180019219,140400.0,34.89,9.58231,23.30020044065741,1.6616476321717264,155.07699584960938
4755.T,100,JPY,952.0999755859375,613.953069163956,95209.99755859375,23.66,,38.22139583546436,0.446005900318182,155.07699584960938
1305.T,20,JPY,3560.0,459.1267686733393,71200.0,17.69,17.664501,20.103912605701783,1.0908773156326297,155.07699584960938
186A.T,100,JPY,655.0,422.37083354078266,65500.0,16.28,,71.77825785748529,0.11112064545588268,155.07699584960938
9434.T,100,JPY,215.1999969482422,138.76977418168386,21519.99969482422,5.35,19.12889,17.53340592007928,0.6003031699715846,155.07699584960938
8058.T,1,JPY,3744.0,24.142845813384582,3744.0,0.93,21.393064,26.578808719985297,1.5928971420299767,155.07699584960938
8173.T,1,JPY,2623.0,16.914178570648442,2623.0,0.65,21.863798,19.797009370469638,0.9156681698571812,155.07699584960938
7267.T,1,JPY,1520.0,9.801582702015109,1520.0,0.38,10.002632,35.11954049332311,0.6901886361931632,155.07699584960938
8698.T,1,JPY,726.0,4.68154542214669,726.0,0.18,,43.92713904794714,-0.8832821624414745,155.07699584960938
