,AAPL,MSFT,GOOGL,TSLA,AMZN,PLTR,SOFI,IONQ,QQQM,NVDA,BBD,GLDM,PFE,RKLB
AAPL,1.0,0.5000673654893569,0.49040462483863795,0.5293281710984085,0.5682342541380835,0.35723137841054703,0.4613537965048417,0.23980483123905802,0.7207280486064822,0.42829928127668354,0.271100377099754,0.018446773591265987,0.29151360068437243,0.23112127804389618
MSFT,0.5000673654893569,1.0,0.4447578237493934,0.5002431908335854,0.6064819054254049,0.4640455649084535,0.5412912172601535,0.3339468720652585,0.7500922767660951,0.631678257824529,0.25038025284591275,-0.03940918272191564,0.04778923513814372,0.39262616873980677
GOOGL,0.49040462483863795,0.4447578237493934,1.0,0.5545527946282403,0.5453132408945229,0.39589108644213855,0.465422081748858,0.34496145101466524,0.6619441325105144,0.4626776070348613,0.26974739455884206,0.08737063915687351,0.06821343354383731,0.3007971579932559
TSLA,0.5293281710984085,0.5002431908335854,0.5545527946282403,1.0,0.5501881009916181,0.5217216539658412,0.5707143256897723,0.47891553166948836,0.7275510290780751,0.5072883079043673,0.2568943819170428,0.015996419025067744,0.1576487110215811,0.4462964999900049
AMZN,0.5682342541380835,0.6064819054254049,0.5453132408945229,0.5501881009916181,1.0,0.5006539470960685,0.6105519802943704,0.3773129958438196,0.7785704353333998,0.563595555743462,0.2124683259492288,-0.13017287155300153,0.11800836245387351,0.4153371447457189
PLTR,0.35723137841054703,0.4640455649084535,0.39589108644213855,0.5217216539658412,0.5006539470960685,1.0,0.5575014418372157,0.43770079410303603,0.661114323531387,0.5673241408639083,0.2717215904338853,0.03044575077553319,0.09207827083267535,0.5163838675812
SOFI,0.4613537965048417,0.5412912172601535,0.465422081748858,0.5707143256897723,0.6105519802943704,0.5575014418372157,1.0,0.49339225601899744,0.7576192792945273,0.5976105990432186,0.2699584612803159,0.046983122220672975,0.12761917340874301,0.6036378387014313
IONQ,0.23980483123905802,0.3339468720652585,0.34496145101466524,0.47891553166948836,0.3773129958438196,0.43770079410303603,0.49339225601899744,1.0,0.4795717843479688,0.3463266604188669,0.2073939806023033,-0.0023884885599071625,0.11864184490178974,0.5741753992289595
QQQM,0.7207280486064822,0.7500922767660951,0.6619441325105144,0.7275510290780751,0.7785704353333998,0.661114323531387,0.7576192792945273,0.4795717843479688,1.0,0.7916597648622306,0.33652872920625065,0.03629790993378593,0.2293818752488244,0.5443556949307619
NVDA,0.42829928127668354,0.631678257824529,0.4626776070348613,0.5072883079043673,0.563595555743462,0.5673241408639083,0.5976105990432186,0.3463266604188669,0.7916597648622306,1.0,0.15747450499483018,0.003090820739517642,0.038122704651205847,0.45136344898231123
BBD,0.271100377099754,0.25038025284591275,0.26974739455884206,0.2568943819170428,0.2124683259492288,0.2717215904338853,0.2699584612803159,0.2073939806023033,0.33652872920625065,0.15747450499483018,1.0,0.10363583827071436,0.12778586995039232,0.1744523352709434
GLDM,0.018446773591265987,-0.03940918272191564,0.08737063915687351,0.015996419025067744,-0.13017287155300153,0.03044575077553319,0.046983122220672975,-0.0023884885599071625,0.03629790993378593,0.003090820739517642,0.10363583827071436,1.0,0.023417895895947276,0.04025931096052842
PFE,0.29151360068437243,0.04778923513814372,0.06821343354383731,0.1576487110215811,0.11800836245387351,0.09207827083267535,0.12761917340874301,0.11864184490178974,0.2293818752488244,0.038122704651205847,0.12778586995039232,0.023417895895947276,1.0,0.10615190793411848
RKLB,0.23112127804389618,0.39262616873980677,0.3007971579932559,0.4462964999900049,0.4153371447457189,0.5163838675812,0.6036378387014313,0.5741753992289595,0.5443556949307619,0.45136344898231123,0.1744523352709434,0.04025931096052842,0.10615190793411848,1.0
