ticker,name,shares,currency,price,value,value_jp,ratio,PER,sigma,sharpe,sector,industry,country,usd_jpy_rate
3289.T,東急不動産ホールディングス(株),100,JPY,1404.0,904.6974533878857,140400,34.89,9.58231,23.30020044065741,1.6616476321717264,Real Estate,Real Estate - Diversified,Japan,155.19000244140625
4755.T,楽天グループ(株),100,JPY,952.0999755859375,613.5059994895056,95209,23.66,,38.22139583546436,0.446005900318182,Consumer Cyclical,Internet Retail,Japan,155.19000244140625
1305.T,iFreeETF TOPIX(年1回決算型),20,JPY,3560.0,458.79244074941215,71200,17.69,17.664501,20.103912605701783,1.0908773156326297,,,,155.19000244140625
186A.T,(株)アストロスケールホールディングス,100,JPY,655.0,422.06327063323727,65500,16.28,,71.77825785748529,0.11112064545588268,Industrials,Aerospace & Defense,Japan,155.19000244140625
9434.T,ソフトバンク(株),100,JPY,215.1999969482422,138.66872450723324,21519,5.35,19.12889,17.533402588145595,0.6003032507271893,Communication Services,Telecom Services,Japan,155.19000244140625
8058.T,三菱商事(株),1,JPY,3744.0,24.125265423676954,3744,0.93,21.393064,26.57881034264875,1.5928974428498217,Industrials,Conglomerates,Japan,155.19000244140625
8173.T,上新電機(株),1,JPY,2623.0,16.9018619674959,2623,0.65,21.863798,19.797009370469638,0.9156681698571812,Consumer Cyclical,Specialty Retail,Japan,155.19000244140625
7267.T,ホンダ,1,JPY,1520.0,9.794445364313292,1520,0.38,10.002632,35.11954049332311,0.6901886361931632,Consumer Cyclical,Auto Manufacturers,Japan,155.19000244140625
8698.T,マネックスグループ(株),1,JPY,726.0,4.678136404270691,726,0.18,,43.92713904794714,-0.8832821624414745,Financial Services,Capital Markets,Japan,155.19000244140625
