,AAPL,MSFT,GOOGL,TSLA,AMZN,PLTR,SOFI,IONQ,QQQM,NVDA,BBD,GLDM,PFE,RKLB
AAPL,1.0,0.49999891774925787,0.49062577049815587,0.5293329271968998,0.5683565228619151,0.3572208760451259,0.4610951705016778,0.23962772411775032,0.7206337798837569,0.4283808357822199,0.27101495125965086,0.018547321784225804,0.2915734232914732,0.2309717669987547
MSFT,0.49999891774925787,1.0,0.44511144278185755,0.5001485870146977,0.6066635354624567,0.4641942965742956,0.5403269771733498,0.3333364631766035,0.7502802130344423,0.631473618187806,0.25041682375347213,-0.03889022350879093,0.04778314130611632,0.39260022292336527
GOOGL,0.49062577049815587,0.44511144278185755,1.0,0.5545595143302536,0.5453634148026306,0.39615022461945376,0.46648971414265494,0.34453941594418747,0.6620396601788898,0.4623552023790915,0.2701111308207897,0.08773982118263729,0.06810576640116145,0.30131309227976777
TSLA,0.5293329271968998,0.5001485870146977,0.5545595143302536,1.0,0.5501703681372155,0.521641652176165,0.5715870613986984,0.4787923427132716,0.727249871926689,0.5073089687337536,0.2568767673428284,0.015979760862338186,0.15766076994932332,0.4463587594953163
AMZN,0.5683565228619151,0.6066635354624567,0.5453634148026306,0.5501703681372155,1.0,0.5007970659261752,0.6114865240708252,0.3769329706815419,0.7785293145341164,0.5633634796644695,0.2126908938726151,-0.12981051083058667,0.11793974555655198,0.41567865180705627
PLTR,0.3572208760451259,0.4641942965742956,0.39615022461945376,0.521641652176165,0.5007970659261752,1.0,0.5571111940344011,0.43713049410740334,0.6612598020798357,0.5671173460941507,0.2718019020796134,0.030861202165251428,0.09205039364448553,0.5164694715624377
SOFI,0.4610951705016778,0.5403269771733498,0.46648971414265494,0.5715870613986984,0.6114865240708252,0.5571111940344011,1.0,0.4951959456188182,0.7573944152583864,0.6000864041408104,0.26870465903096746,0.04560115452634382,0.1283858405775612,0.6024772929853448
IONQ,0.23962772411775032,0.3333364631766035,0.34453941594418747,0.4787923427132716,0.3769329706815419,0.43713049410740334,0.4951959456188182,1.0,0.47858067154229655,0.34651411339063026,0.20707064668212324,-0.002996352881308015,0.1186822174020391,0.5739045370793298
QQQM,0.7206337798837569,0.7502802130344423,0.6620396601788898,0.727249871926689,0.7785293145341164,0.6612598020798357,0.7573944152583864,0.47858067154229655,1.0,0.7909658181004964,0.3367701166924054,0.03702685933302127,0.22919519158773463,0.544609882768252
NVDA,0.4283808357822199,0.631473618187806,0.4623552023790915,0.5073089687337536,0.5633634796644695,0.5671173460941507,0.6000864041408104,0.34651411339063026,0.7909658181004964,1.0,0.15751788809277073,0.0028052103553579412,0.03809828356334398,0.4516211138725238
BBD,0.27101495125965086,0.25041682375347213,0.2701111308207897,0.2568767673428284,0.2126908938726151,0.2718019020796134,0.26870465903096746,0.20707064668212324,0.3367701166924054,0.15751788809277073,1.0,0.1038716912114955,0.12784090160006004,0.17424698437955
GLDM,0.018547321784225804,-0.03889022350879093,0.08773982118263729,0.015979760862338186,-0.12981051083058667,0.030861202165251428,0.04560115452634382,-0.002996352881308015,0.03702685933302127,0.0028052103553579412,0.1038716912114955,1.0,0.023345887366161184,0.040468662656485355
PFE,0.2915734232914732,0.04778314130611632,0.06810576640116145,0.15766076994932332,0.11793974555655198,0.09205039364448553,0.1283858405775612,0.1186822174020391,0.22919519158773463,0.03809828356334398,0.12784090160006004,0.023345887366161184,1.0,0.10627627366442496
RKLB,0.2309717669987547,0.39260022292336527,0.30131309227976777,0.4463587594953163,0.41567865180705627,0.5164694715624377,0.6024772929853448,0.5739045370793298,0.544609882768252,0.4516211138725238,0.17424698437955,0.040468662656485355,0.10627627366442496,1.0
