ticker,name,shares,currency,price,value,value_jp,ratio,PER,sigma,sharpe,dividend_yield,sector,industry,country,usd_jpy_rate
PLTR,Palantir Technologies Inc.,10,USD,178.4499969482422,1784.4999694824219,276986,27.3,415.1744,67.96213056522528,1.6259941981735035,,Technology,Software - Infrastructure,United States,155.21800231933594
TSLA,"Tesla, Inc.",3,USD,454.6499938964844,1363.9499816894531,211709,20.87,313.5517,65.30701275606269,0.5822035137162829,,Consumer Cyclical,Auto Manufacturers,United States,155.21800231933594
GOOGL,Alphabet Inc.,2,USD,322.1499938964844,644.2999877929688,100006,9.86,31.790722,33.33300593620897,1.947024114906345,26.0,Communication Services,Internet Content & Information,United States,155.21800231933594
IONQ,"IonQ, Inc.",11,USD,52.880001068115234,581.6800117492676,90287,8.9,,119.37828842307947,0.8828532632100049,,Technology,Computer Hardware,United States,155.21800231933594
SOFI,"SoFi Technologies, Inc.",20,USD,27.222999572753906,544.4599914550781,84509,8.33,48.62268,64.95268277824523,1.1230961210495,,Financial Services,Credit Services,United States,155.21800231933594
AMZN,"Amazon.com, Inc.",2,USD,230.07000732421875,460.1400146484375,71422,7.04,32.49294,34.89326304912881,0.18019132102860763,,Consumer Cyclical,Internet Retail,United States,155.21800231933594
AAPL,Apple Inc.,1,USD,280.1499938964844,280.1499938964844,43484,4.29,37.503345,32.70678012621472,0.49055008846108417,37.0,Technology,Consumer Electronics,United States,155.21800231933594
QQQM,Invesco NASDAQ 100 ETF,1,USD,258.05999755859375,258.05999755859375,40055,3.95,35.343895,23.65959852639574,0.7540297417844816,50.0,,,,155.21800231933594
BBD,Banco Bradesco S.A.,56,USD,3.625,203.0,31509,3.11,10.069444,37.62741223183459,1.7039458566409045,497.0,Financial Services,Banks - Regional,Brazil,155.21800231933594
NVDA,NVIDIA Corporation,1,USD,181.6300048828125,181.6300048828125,28192,2.78,45.069477,49.749655586044064,0.6247305647767216,2.0,Technology,Semiconductors,United States,155.21800231933594
PFE,Pfizer Inc.,4,USD,25.735000610351562,102.94000244140625,15978,1.57,14.96221,26.33032800849973,0.25133332464140967,669.0,Healthcare,Drug Manufacturers - General,United States,155.21800231933594
GLDM,SPDR Gold MiniShares,1,USD,83.8499984741211,83.8499984741211,13015,1.28,,19.37060642615449,2.3657919236408396,0.0,,,,155.21800231933594
RKLB,Rocket Lab Corporation,1,USD,48.13999938964844,48.13999938964844,7472,0.74,,87.19313995118259,1.1881995793599485,,Industrials,Aerospace & Defense,United States,155.21800231933594
MSFT,Microsoft Corporation,0,USD,481.29998779296875,0.0,0,0.0,34.277138,24.430795062570038,0.33252906929519066,76.0,Technology,Software - Infrastructure,United States,155.21800231933594
