ticker,name,shares,currency,price,value,value_jp,ratio,PER,sigma,sharpe,sector,industry,country,usd_jpy_rate
PLTR,Palantir Technologies Inc.,10,USD,177.9199981689453,1779.1999816894531,276112,27.0,413.76743,68.09882967228572,1.6250561001670039,Technology,Software - Infrastructure,United States,155.18899536132812
TSLA,"Tesla, Inc.",3,USD,454.5299987792969,1363.5899963378906,211614,20.69,313.46896,65.43839409889628,0.5832052859756951,Consumer Cyclical,Auto Manufacturers,United States,155.18899536132812
GOOGL,Alphabet Inc.,2,USD,317.6199951171875,635.239990234375,98582,9.64,31.354393,33.37982965784951,1.9093400622227348,Communication Services,Internet Content & Information,United States,155.18899536132812
IONQ,"IonQ, Inc.",11,USD,54.7599983215332,602.3599815368652,93479,9.14,,119.55493389501723,0.9142856813382365,Technology,Computer Hardware,United States,155.18899536132812
SOFI,"SoFi Technologies, Inc.",20,USD,29.600000381469727,592.0000076293945,91871,8.98,52.857143,64.53660480879645,1.261056338456055,Financial Services,Credit Services,United States,155.18899536132812
AMZN,"Amazon.com, Inc.",2,USD,229.11000061035156,458.2200012207031,71110,6.95,32.36017,34.96145478733389,0.16889212137013274,Consumer Cyclical,Internet Retail,United States,155.18899536132812
AAPL,Apple Inc.,1,USD,280.70001220703125,280.70001220703125,43561,4.26,37.576977,32.77147358926535,0.49808926405341164,Technology,Consumer Electronics,United States,155.18899536132812
QQQM,Invesco NASDAQ 100 ETF,1,USD,256.4599914550781,256.4599914550781,39799,3.89,35.12476,23.701039114189566,0.7297722572439597,,,,155.18899536132812
BBD,Banco Bradesco S.A.,56,USD,3.630000114440918,203.2800064086914,31546,3.08,10.083333,37.70095892149095,1.7115757860055496,Financial Services,Banks - Regional,Brazil,155.18899536132812
NVDA,NVIDIA Corporation,1,USD,183.3800048828125,183.3800048828125,28458,2.78,45.50372,49.837609905648435,0.6458337464384883,Technology,Semiconductors,United States,155.18899536132812
PFE,Pfizer Inc.,4,USD,25.700000762939453,102.80000305175781,15953,1.56,14.94186,26.383183190915695,0.24722224123377218,Healthcare,Drug Manufacturers - General,United States,155.18899536132812
GLDM,SPDR Gold MiniShares,1,USD,83.33000183105469,83.33000183105469,12931,1.26,,19.404844196450522,2.3393845507950437,,,,155.18899536132812
RKLB,Rocket Lab Corporation,1,USD,49.369998931884766,49.369998931884766,7661,0.75,,87.31901494664534,1.2203115170487815,Industrials,Aerospace & Defense,United States,155.18899536132812
MSFT,Microsoft Corporation,0,USD,480.8399963378906,0.0,0,0.0,34.247864,24.479958326575268,0.32989533918070035,Technology,Software - Infrastructure,United States,155.18899536132812
