ticker,name,shares,currency,price,value,value_jp,ratio,PER,sigma,sharpe,dividend_yield,sector,industry,country,usd_jpy_rate
PLTR,Palantir Technologies Inc.,10,USD,180.4600067138672,1804.6000671386719,280014,27.41,419.67444,67.96896212297348,1.642584954140988,,Technology,Software - Infrastructure,United States,155.16700744628906
TSLA,"Tesla, Inc.",3,USD,455.96990966796875,1367.9097290039062,212254,20.78,314.462,65.30703193045751,0.5866854707507757,,Consumer Cyclical,Auto Manufacturers,United States,155.16700744628906
GOOGL,Alphabet Inc.,2,USD,321.8500061035156,643.7000122070312,99881,9.78,31.769989,33.32983235834912,1.9443527832892202,26.0,Communication Services,Internet Content & Information,United States,155.16700744628906
IONQ,"IonQ, Inc.",11,USD,53.20000076293945,585.200008392334,90803,8.89,,119.36057015067816,0.8879193012432972,,Technology,Computer Hardware,United States,155.16700744628906
SOFI,"SoFi Technologies, Inc.",20,USD,27.84000015258789,556.8000030517578,86396,8.46,49.714287,64.71522943540263,1.159684417677063,,Financial Services,Credit Services,United States,155.16700744628906
AMZN,"Amazon.com, Inc.",2,USD,231.05999755859375,462.1199951171875,71705,7.02,32.635593,34.90069893479581,0.19263289201540507,,Consumer Cyclical,Internet Retail,United States,155.16700744628906
AAPL,Apple Inc.,1,USD,280.7204895019531,280.7204895019531,43558,4.26,37.57995,32.70569375956871,0.4968305955361285,37.0,Technology,Consumer Electronics,United States,155.16700744628906
QQQM,Invesco NASDAQ 100 ETF,1,USD,258.7900085449219,258.7900085449219,40155,3.93,35.44388,23.66786482492266,0.7658897302651819,50.0,,,,155.16700744628906
BBD,Banco Bradesco S.A.,56,USD,3.6449999809265137,204.11999893188477,31672,3.1,10.125,37.62544264231532,1.718796009094359,497.0,Financial Services,Banks - Regional,Brazil,155.16700744628906
NVDA,NVIDIA Corporation,1,USD,183.0500946044922,183.0500946044922,28403,2.78,45.41935,49.7384949305976,0.6405645983041384,2.0,Technology,Semiconductors,United States,155.16700744628906
PFE,Pfizer Inc.,4,USD,25.690000534057617,102.76000213623047,15944,1.56,14.936047,26.330275982884228,0.2446305121630177,669.0,Healthcare,Drug Manufacturers - General,United States,155.16700744628906
GLDM,SPDR Gold MiniShares,1,USD,84.04499816894531,84.04499816894531,13041,1.28,,19.377242046044444,2.377154870155709,0.0,,,,155.16700744628906
RKLB,Rocket Lab Corporation,1,USD,49.56999969482422,49.56999969482422,7691,0.75,,87.14350569455004,1.2223804845212278,,Industrials,Aerospace & Defense,United States,155.16700744628906
MSFT,Microsoft Corporation,0,USD,482.8949890136719,0.0,0,0.0,34.39423,24.43372304159176,0.34617355567057234,76.0,Technology,Software - Infrastructure,United States,155.16700744628906
