,AAPL,MSFT,GOOGL,TSLA,AMZN,PLTR,SOFI,IONQ,QQQM,NVDA,BBD,GLDM,PFE,RKLB
AAPL,1.0,0.5000356869911637,0.4901610410791793,0.5292677319078262,0.5682692423219082,0.35724440302493676,0.4613042241862413,0.23988488591433418,0.7207737918450533,0.4285005605922406,0.27107900526761863,0.01821442725555189,0.291539714809231,0.23113726206640556
MSFT,0.5000356869911637,1.0,0.4447206961936297,0.5002455393020137,0.606531872140817,0.4640511370444752,0.5407290877093641,0.3338190516671928,0.7501782811841314,0.6314661912567172,0.25036981544958553,-0.03932733709221365,0.04779366911566171,0.39258985462053164
GOOGL,0.4901610410791793,0.4447206961936297,1.0,0.5545648477626451,0.5452217480728841,0.39577081227019834,0.4639166049878706,0.34433581880024466,0.6618999867863686,0.4615346360442731,0.269717894495507,0.08803000870053738,0.06813834146245001,0.3005945816750353
TSLA,0.5292677319078262,0.5002455393020137,0.5545648477626451,1.0,0.5502735309531482,0.5217367740115308,0.5697923595890472,0.47870286539542467,0.7276919760277879,0.5071001291469208,0.25685692520010195,0.016110169211210452,0.15766363092193397,0.44620127608806354
AMZN,0.5682692423219082,0.606531872140817,0.5452217480728841,0.5502735309531482,1.0,0.5006452483396141,0.6106108359675256,0.37718193287584517,0.7785472611999629,0.5631207513141825,0.21255922227827104,-0.129962387920672,0.11796729444748263,0.41545525785502446
PLTR,0.35724440302493676,0.4640511370444752,0.39577081227019834,0.5217367740115308,0.5006452483396141,1.0,0.5574290939231656,0.4376175158830083,0.6611145375832668,0.5671116702612226,0.27175791421358725,0.030439375757448695,0.09206655526291052,0.5164452369119328
SOFI,0.4613042241862413,0.5407290877093641,0.4639166049878706,0.5697923595890472,0.6106108359675256,0.5574290939231656,1.0,0.4944111696621898,0.7575909512989037,0.6008530407459588,0.2694174050345702,0.04453463978325993,0.127909967482093,0.6032585298257557
IONQ,0.23988488591433418,0.3338190516671928,0.34433581880024466,0.47870286539542467,0.37718193287584517,0.4376175158830083,0.4944111696621898,1.0,0.4793628388852942,0.34687429948143333,0.20737453965389552,-0.003021111851653346,0.11864911994149133,0.574263328115656
QQQM,0.7207737918450533,0.7501782811841314,0.6618999867863686,0.7276919760277879,0.7785472611999629,0.6611145375832668,0.7575909512989037,0.4793628388852942,1.0,0.790953338872855,0.33665918177795634,0.03656735448768961,0.22933148790055072,0.5445029552871838
NVDA,0.4285005605922406,0.6314661912567172,0.4615346360442731,0.5071001291469208,0.5631207513141825,0.5671116702612226,0.6008530407459588,0.34687429948143333,0.790953338872855,1.0,0.1576746320283553,0.0022266348702258162,0.03805482503043389,0.4518832540119919
BBD,0.27107900526761863,0.25036981544958553,0.269717894495507,0.25685692520010195,0.21255922227827104,0.27175791421358725,0.2694174050345702,0.20737453965389552,0.33665918177795634,0.1576746320283553,1.0,0.1035086135512532,0.12782812898266463,0.1743721188386034
GLDM,0.01821442725555189,-0.03932733709221365,0.08803000870053738,0.016110169211210452,-0.129962387920672,0.030439375757448695,0.04453463978325993,-0.003021111851653346,0.03656735448768961,0.0022266348702258162,0.1035086135512532,1.0,0.023391701167849888,0.03987410194136677
PFE,0.291539714809231,0.04779366911566171,0.06813834146245001,0.15766363092193397,0.11796729444748263,0.09206655526291052,0.127909967482093,0.11864911994149133,0.22933148790055072,0.03805482503043389,0.12782812898266463,0.023391701167849888,1.0,0.10622457688131154
RKLB,0.23113726206640556,0.39258985462053164,0.3005945816750353,0.44620127608806354,0.41545525785502446,0.5164452369119328,0.6032585298257557,0.574263328115656,0.5445029552871838,0.4518832540119919,0.1743721188386034,0.03987410194136677,0.10622457688131154,1.0
