ticker,shares,currency,price,value,value_jp,ratio,PER,sigma,sharpe,usd_jpy_rate
PLTR,10,USD,177.9199981689453,1779.1999816894531,275929.00575404055,27.0,413.76743,68.09882967228572,1.6250561001670039,155.08599853515625
TSLA,3,USD,454.5299987792969,1363.5899963378906,211473.71617461182,20.69,313.46896,65.43839409889628,0.5832052859756951,155.08599853515625
GOOGL,2,USD,317.6199951171875,635.239990234375,98516.82819496095,9.64,31.354393,33.379841219223096,1.9093397884739745,155.08599853515625
IONQ,11,USD,54.7599983215332,602.3599815368652,93417.59921426303,9.14,,119.55493389501723,0.9142856813382365,155.08599853515625
SOFI,20,USD,29.600000381469727,592.0000076293945,91810.91231602477,8.98,52.857143,64.53660480879645,1.261056338456055,155.08599853515625
AMZN,2,USD,229.11000061035156,458.2200012207031,71063.50643809326,6.95,32.36017,34.96145478733389,0.16889212137013274,155.08599853515625
AAPL,1,USD,280.70001220703125,280.70001220703125,43532.64168195799,4.26,37.576977,32.77147945582983,0.4980892213918265,155.08599853515625
QQQM,1,USD,256.4599914550781,256.4599914550781,39773.35385912843,3.89,35.12476,23.701034528702735,0.7297723522206975,155.08599853515625
BBD,56,USD,3.630000114440918,203.2800064086914,31525.88277612487,3.08,10.083333,37.70095837351,1.7115758105298695,155.08599853515625
NVDA,1,USD,183.3800048828125,183.3800048828125,28439.671168632805,2.78,45.50372,49.83761243061791,0.6458337388393017,155.08599853515625
PFE,4,USD,25.700000762939453,102.80000305175781,15942.84112269897,1.56,14.94186,26.383180972067642,0.24722254592008241,155.08599853515625
GLDM,1,USD,83.33000183105469,83.33000183105469,12923.316541905515,1.26,,19.404844196450522,2.3393845507950437,155.08599853515625
RKLB,1,USD,49.369998931884766,49.369998931884766,7656.595582030946,0.75,,87.31901494664534,1.2203115170487815,155.08599853515625
MSFT,0,USD,480.8399963378906,0.0,0.0,0.0,34.247864,24.47996467942509,0.3298953218413372,155.08599853515625
