ticker,name,shares,currency,price,value,value_jp,ratio,PER,sigma,sharpe,dividend_yield,sector,industry,country,usd_jpy_rate
3289.T,東急不動産ホールディングス(株),100,JPY,1404.0,904.9015571822769,140400,33.81,9.58231,23.30019780247104,1.6616477949634563,310.0,Real Estate,Real Estate - Diversified,Japan,155.15499877929688
4755.T,楽天グループ(株),100,JPY,952.0999755859375,613.6444091886913,95209,22.93,,38.22139583546436,0.446005900318182,,Consumer Cyclical,Internet Retail,Japan,155.15499877929688
1305.T,iFreeETF TOPIX(年1回決算型),20,JPY,3560.0,458.89594637733694,71200,17.15,17.664501,20.103912605701783,1.0908773156326297,212.0,,,,155.15499877929688
186A.T,(株)アストロスケールホールディングス,100,JPY,655.0,422.1584899960052,65500,15.78,,71.77825785748529,0.11112064545588268,,Industrials,Aerospace & Defense,Japan,155.15499877929688
9434.T,ソフトバンク(株),100,JPY,215.1999969482422,138.70000879208374,21519,5.18,19.12889,17.533402588145595,0.6003032507271893,393.0,Communication Services,Telecom Services,Japan,155.15499877929688
9432.T,ＮＴＴ(株),100,JPY,153.89999389648438,99.1911282957775,15389,3.71,12.253183,16.588577810146894,-0.012940691177346865,341.0,Communication Services,Telecom Services,Japan,155.15499877929688
8058.T,三菱商事(株),1,JPY,3744.0,24.130708191527383,3744,0.9,21.393064,26.578808719985297,1.5928971420299767,287.0,Industrials,Conglomerates,Japan,155.15499877929688
7267.T,ホンダ,1,JPY,1520.0,9.7966550350218,1520,0.37,10.002632,35.11953434877472,0.6901889924941853,451.99999999999994,Consumer Cyclical,Auto Manufacturers,Japan,155.15499877929688
8698.T,マネックスグループ(株),1,JPY,726.0,4.679191812780149,726,0.17,,43.92714027836818,-0.8832821253757351,412.0,Financial Services,Capital Markets,Japan,155.15499877929688
