ticker,name,shares,currency,price,value,value_jp,ratio,PER,sigma,sharpe,usd_jpy_rate
PLTR,Palantir Technologies Inc.,10,USD,177.9199981689453,1779.1999816894531,275918,27.0,413.76743,68.09882967228572,1.6250561001670039,155.0800018310547
TSLA,"Tesla, Inc.",3,USD,454.5299987792969,1363.5899963378906,211465,20.69,313.46896,65.43839409889628,0.5832052859756951,155.0800018310547
GOOGL,Alphabet Inc.,2,USD,317.6199951171875,635.239990234375,98513,9.64,31.354393,33.37983891688627,1.9093398962594523,155.0800018310547
IONQ,"IonQ, Inc.",11,USD,54.7599983215332,602.3599815368652,93413,9.14,,119.55493389501723,0.9142856813382365,155.0800018310547
SOFI,"SoFi Technologies, Inc.",20,USD,29.600000381469727,592.0000076293945,91807,8.98,52.857143,64.53660480879645,1.261056338456055,155.0800018310547
AMZN,"Amazon.com, Inc.",2,USD,229.11000061035156,458.2200012207031,71060,6.95,32.36017,34.96145478733389,0.16889212137013274,155.0800018310547
AAPL,Apple Inc.,1,USD,280.70001220703125,280.70001220703125,43530,4.26,37.576977,32.77148178762837,0.49808920985913097,155.0800018310547
QQQM,Invesco NASDAQ 100 ETF,1,USD,256.4599914550781,256.4599914550781,39771,3.89,35.12476,23.701043856220107,0.7297721592347284,155.0800018310547
BBD,Banco Bradesco S.A.,56,USD,3.630000114440918,203.2800064086914,31524,3.08,10.083333,37.70096384596527,1.7115756172260068,155.0800018310547
NVDA,NVIDIA Corporation,1,USD,183.3800048828125,183.3800048828125,28438,2.78,45.50372,49.8376089359365,0.6458337479702704,155.0800018310547
PFE,Pfizer Inc.,4,USD,25.700000762939453,102.80000305175781,15942,1.56,14.94186,26.38319064764364,0.24722194409542889,155.0800018310547
GLDM,SPDR Gold MiniShares,1,USD,83.33000183105469,83.33000183105469,12922,1.26,,19.404844196450522,2.3393845507950437,155.0800018310547
RKLB,Rocket Lab Corporation,1,USD,49.369998931884766,49.369998931884766,7656,0.75,,87.31901494664534,1.2203115170487815,155.0800018310547
MSFT,Microsoft Corporation,0,USD,480.8399963378906,0.0,0,0.0,34.247864,24.47995950756611,0.3298953379457567,155.0800018310547
