,AAPL,MSFT,GOOGL,TSLA,AMZN,PLTR,SOFI,IONQ,QQQM,NVDA,BBD,GLDM,PFE,RKLB
AAPL,1.0,0.5000320695290347,0.4905248556713784,0.5292643396890373,0.5682229068555763,0.35716029991462533,0.4618992728944994,0.23974700411379252,0.7206332414498343,0.4284172193488461,0.27099065935605987,0.01826989298106286,0.2914810004125985,0.23103997166932363
MSFT,0.5000320695290347,1.0,0.4449065670155078,0.5002640600726054,0.6065399534292312,0.4640786490201808,0.5419400204201219,0.33349139693445495,0.7501102236240857,0.631584780289636,0.2504066231922277,-0.03908063850171152,0.04785281092620574,0.392537509895898
GOOGL,0.4905248556713784,0.4449065670155078,1.0,0.5547725475631082,0.545381136875009,0.3960943951657692,0.4671789918488599,0.34423308817259834,0.6619896729042137,0.46229638739637086,0.2701166817635943,0.0880365396066538,0.06836000769863604,0.30095273807948625
TSLA,0.5292643396890373,0.5002640600726054,0.5547725475631082,1.0,0.5502998436851315,0.5217699243584718,0.5710762760852708,0.47828566899301195,0.727644544860759,0.5071973594081596,0.2569030714669547,0.01635065253094214,0.15772551959550413,0.4461453366320036
AMZN,0.5682229068555763,0.6065399534292312,0.545381136875009,0.5502998436851315,1.0,0.5007817815903784,0.6117716992908924,0.3765099869485284,0.7786099905507393,0.5632432150256743,0.21269064414760466,-0.12930564563157612,0.11814345223249494,0.4153085913905698
PLTR,0.35716029991462533,0.4640786490201808,0.3960943951657692,0.5217699243584718,0.5007817815903784,1.0,0.5578537411137343,0.43690522092589673,0.661246106488694,0.5670903423282081,0.271802374531862,0.031013948742904588,0.09220098467552292,0.5162167105790216
SOFI,0.4618992728944994,0.5419400204201219,0.4671789918488599,0.5710762760852708,0.6117716992908924,0.5578537411137343,1.0,0.4962677624981649,0.7589480389663814,0.6007740418582729,0.2689061572003945,0.04397378091790095,0.12734199505675284,0.6042277803019329
IONQ,0.23974700411379252,0.33349139693445495,0.34423308817259834,0.47828566899301195,0.3765099869485284,0.43690522092589673,0.4962677624981649,1.0,0.47837565952570466,0.34658821163343867,0.20695301673893285,-0.004021335305722288,0.11819836344304173,0.5742101799147585
QQQM,0.7206332414498343,0.7501102236240857,0.6619896729042137,0.727644544860759,0.7786099905507393,0.661246106488694,0.7589480389663814,0.47837565952570466,1.0,0.7910545748118644,0.3368168969720406,0.037332694236413125,0.22955159705395695,0.5442429465173291
NVDA,0.4284172193488461,0.631584780289636,0.46229638739637086,0.5071973594081596,0.5632432150256743,0.5670903423282081,0.6007740418582729,0.34658821163343867,0.7910545748118644,1.0,0.1575000540909469,0.0025120828309416203,0.037979687422716714,0.4517003616892086
BBD,0.27099065935605987,0.2504066231922277,0.2701166817635943,0.2569030714669547,0.21269064414760466,0.271802374531862,0.2689061572003945,0.20695301673893285,0.3368168969720406,0.1575000540909469,1.0,0.10386726206556186,0.1278750115043619,0.17416442958300402
GLDM,0.01826989298106286,-0.03908063850171152,0.0880365396066538,0.01635065253094214,-0.12930564563157612,0.031013948742904588,0.04397378091790095,-0.004021335305722288,0.037332694236413125,0.0025120828309416203,0.10386726206556186,1.0,0.02385616256094833,0.03967786403344293
PFE,0.2914810004125985,0.04785281092620574,0.06836000769863604,0.15772551959550413,0.11814345223249494,0.09220098467552292,0.12734199505675284,0.11819836344304173,0.22955159705395695,0.037979687422716714,0.1278750115043619,0.02385616256094833,1.0,0.10605457154534127
RKLB,0.23103997166932363,0.392537509895898,0.30095273807948625,0.4461453366320036,0.4153085913905698,0.5162167105790216,0.6042277803019329,0.5742101799147585,0.5442429465173291,0.4517003616892086,0.17416442958300402,0.03967786403344293,0.10605457154534127,1.0
