ticker,shares,price,value,value_jp,ratio,PER,sigma,sharpe,usd_jpy_rate
PLTR,10,177.9199981689453,1779.1999816894531,275806.240520929,27.0,413.76743,68.09882967228572,1.6250561001670039,155.01699829101562
TSLA,3,454.5299987792969,1363.5899963378906,211379.6281319568,20.69,313.46896,65.43839409889628,0.5832052859756951,155.01699829101562
GOOGL,2,317.6199951171875,635.239990234375,98472.99648054689,9.64,31.354393,33.37982965784951,1.9093400622227348,155.01699829101562
IONQ,11,54.7599983215332,602.3599815368652,93376.03622847644,9.14,,119.55493389501723,0.9142856813382365,155.01699829101562
SOFI,20,29.600000381469727,592.0000076293945,91770.06417096709,8.98,52.857143,64.53660480879645,1.261056338456055,155.01699829101562
AMZN,2,229.11000061035156,458.2200012207031,71031.88914613891,6.95,32.36017,34.96145478733389,0.16889212137013274,155.01699829101562
AAPL,1,280.70001220703125,280.70001220703125,43513.27331258543,4.26,37.576977,32.77148334005685,0.4980892028033104,155.01699829101562
QQQM,1,256.4599914550781,256.4599914550781,39755.65805710573,3.89,35.12476,23.70104275141423,0.7297721824058404,155.01699829101562
BBD,56,3.630000114440918,203.2800064086914,31511.85640605376,3.08,10.083333,37.70094815023273,1.711576337833195,155.01699829101562
NVDA,1,183.3800048828125,183.3800048828125,28427.017903525382,2.78,45.50372,49.837618868602966,0.6458337167144607,155.01699829101562
PFE,4,25.700000762939453,102.80000305175781,15935.747897390742,1.56,14.94186,26.3831865606593,0.247222242184944,155.01699829101562
GLDM,1,83.33000183105469,83.33000183105469,12917.566751434933,1.26,,19.404844196450522,2.3393845507950437,155.01699829101562
RKLB,1,49.369998931884766,49.369998931884766,7653.189040051424,0.75,,87.31901494664534,1.2203115170487815,155.01699829101562
MSFT,0,480.8399963378906,0.0,0.0,0.0,34.247864,24.479950534857185,0.32989537198935276,155.01699829101562
