ticker,name,shares,currency,price,value,value_jp,ratio,PER,sigma,sharpe,dividend_yield,sector,industry,country,usd_jpy_rate
3289.T,東急不動産ホールディングス(株),100,JPY,1404.0,904.7440670646473,140400,33.81,9.58231,23.30020044065741,1.6616476321717264,310.0,Real Estate,Real Estate - Diversified,Japan,155.1820068359375
4755.T,楽天グループ(株),100,JPY,952.0999755859375,613.5376098032568,95209,22.93,,38.22139583546436,0.446005900318182,,Consumer Cyclical,Internet Retail,Japan,155.1820068359375
1305.T,iFreeETF TOPIX(年1回決算型),20,JPY,3560.0,458.81607959403766,71200,17.15,17.664501,20.103912605701783,1.0908773156326297,212.0,,,,155.1820068359375
186A.T,(株)アストロスケールホールディングス,100,JPY,655.0,422.0850170422678,65500,15.78,,71.77825785748529,0.11112064545588268,,Industrials,Aerospace & Defense,Japan,155.1820068359375
9434.T,ソフトバンク(株),100,JPY,215.1999969482422,138.67586928151874,21519,5.18,19.12889,17.53340592007928,0.6003031699715846,393.0,Communication Services,Telecom Services,Japan,155.1820068359375
9432.T,ＮＴＴ(株),100,JPY,153.89999389648438,99.17386495664506,15389,3.71,12.253183,16.588572140114017,-0.012940752467519542,341.0,Communication Services,Telecom Services,Japan,155.1820068359375
8058.T,三菱商事(株),1,JPY,3744.0,24.126508455057262,3744,0.9,21.393064,26.578808719985297,1.5928971420299767,287.0,Industrials,Conglomerates,Japan,155.1820068359375
7267.T,ホンダ,1,JPY,1520.0,9.794950013805298,1520,0.37,10.002632,35.11954049332311,0.6901886361931632,451.99999999999994,Consumer Cyclical,Auto Manufacturers,Japan,155.1820068359375
8698.T,マネックスグループ(株),1,JPY,726.0,4.678377440804373,726,0.17,,43.92713904794714,-0.8832821624414745,412.0,Financial Services,Capital Markets,Japan,155.1820068359375
